dimensions,width,height
"(361, 416)",361,416
"(195, 258)",195,258
"(500, 583)",500,583
"(225, 225)",225,225
"(1000, 825)",1000,825
"(1000, 1500)",1000,1500
"(166, 250)",166,250
"(361, 254)",361,254
"(233, 216)",233,216
"(342, 147)",342,147
"(275, 183)",275,183
"(511, 612)",511,612
"(1200, 700)",1200,700
"(1000, 1500)",1000,1500
"(183, 275)",183,275
"(232, 217)",232,217
"(1000, 600)",1000,600
"(299, 168)",299,168
"(1200, 900)",1200,900
"(242, 208)",242,208
"(2000, 2000)",2000,2000
"(274, 184)",274,184
"(262, 192)",262,192
"(1200, 1200)",1200,1200
"(225, 225)",225,225
"(225, 225)",225,225
"(800, 539)",800,539
"(194, 259)",194,259
"(245, 206)",245,206
"(4300, 2419)",4300,2419
"(275, 183)",275,183
"(1000, 628)",1000,628
"(259, 194)",259,194
"(300, 168)",300,168
"(1024, 682)",1024,682
"(267, 188)",267,188
"(275, 183)",275,183
"(800, 527)",800,527
"(1200, 628)",1200,628
"(1280, 960)",1280,960
"(207, 243)",207,243
"(194, 259)",194,259
"(768, 485)",768,485
"(612, 407)",612,407
"(600, 540)",600,540
"(225, 225)",225,225
"(377, 280)",377,280
"(800, 531)",800,531
"(225, 225)",225,225
"(183, 275)",183,275
"(275, 183)",275,183
"(225, 225)",225,225
"(800, 615)",800,615
"(450, 450)",450,450
"(225, 225)",225,225
"(258, 195)",258,195
"(225, 225)",225,225
"(169, 299)",169,299
"(225, 225)",225,225
"(194, 260)",194,260
"(1000, 1500)",1000,1500
"(218, 231)",218,231
"(210, 240)",210,240
"(1140, 694)",1140,694
"(459, 612)",459,612
"(225, 225)",225,225
"(607, 612)",607,612
"(612, 408)",612,408
"(300, 199)",300,199
"(237, 213)",237,213
"(264, 191)",264,191
"(650, 650)",650,650
"(564, 752)",564,752
"(390, 280)",390,280
"(274, 184)",274,184
"(275, 183)",275,183
"(600, 419)",600,419
"(1200, 1600)",1200,1600
"(1200, 630)",1200,630
"(342, 422)",342,422
"(640, 960)",640,960
"(166, 250)",166,250
"(275, 183)",275,183
"(269, 187)",269,187
"(275, 183)",275,183
"(212, 238)",212,238
"(2048, 1365)",2048,1365
"(509, 509)",509,509
"(194, 259)",194,259
"(1200, 1200)",1200,1200
"(225, 225)",225,225
"(3303, 4304)",3303,4304
"(259, 194)",259,194
"(225, 225)",225,225
"(252, 200)",252,200
"(275, 183)",275,183
"(612, 405)",612,405
"(245, 206)",245,206
"(1280, 720)",1280,720
"(190, 266)",190,266
"(225, 224)",225,224
"(800, 674)",800,674
"(350, 350)",350,350
"(275, 183)",275,183
"(167, 302)",167,302
"(920, 1006)",920,1006
"(318, 159)",318,159
"(539, 360)",539,360
"(369, 280)",369,280
"(300, 168)",300,168
"(225, 225)",225,225
"(450, 450)",450,450
"(1000, 665)",1000,665
"(194, 259)",194,259
"(259, 194)",259,194
"(225, 225)",225,225
"(275, 183)",275,183
"(213, 237)",213,237
"(1400, 933)",1400,933
"(225, 225)",225,225
"(259, 194)",259,194
"(228, 221)",228,221
"(612, 573)",612,573
"(225, 225)",225,225
"(267, 188)",267,188
"(207, 243)",207,243
"(275, 183)",275,183
"(416, 260)",416,260
"(268, 188)",268,188
"(275, 183)",275,183
"(259, 194)",259,194
"(1146, 1390)",1146,1390
"(419, 280)",419,280
"(540, 540)",540,540
"(300, 300)",300,300
"(600, 506)",600,506
"(275, 183)",275,183
"(1500, 1000)",1500,1000
"(840, 1200)",840,1200
