images,label,size_kb,dimensions
./flower_images/Lotus/Lotus_001.jpg,Lotus,33.908,"(361, 416)"
./flower_images/Lotus/Lotus_002.jpg,Lotus,11.568,"(195, 258)"
./flower_images/Lotus/Lotus_003.jpg,Lotus,51.821,"(500, 583)"
./flower_images/Lotus/Lotus_004.jpg,Lotus,6.453,"(225, 225)"
./flower_images/Lotus/Lotus_005.jpg,Lotus,176.365,"(1000, 825)"
./flower_images/Lotus/Lotus_006.jpg,Lotus,111.062,"(1000, 1500)"
./flower_images/Lotus/Lotus_007.jpg,Lotus,8.783,"(166, 250)"
./flower_images/Lotus/Lotus_008.jpg,Lotus,26.115,"(361, 254)"
./flower_images/Lotus/Lotus_009.jpg,Lotus,10.95,"(233, 216)"
./flower_images/Lotus/Lotus_010.jpg,Lotus,12.27,"(342, 147)"
./flower_images/Lotus/Lotus_011.jpg,Lotus,15.31,"(275, 183)"
./flower_images/Lotus/Lotus_012.jpg,Lotus,25.805,"(511, 612)"
./flower_images/Lotus/Lotus_013.jpg,Lotus,105.296,"(1200, 700)"
./flower_images/Lotus/Lotus_014.jpg,Lotus,119.544,"(1000, 1500)"
./flower_images/Lotus/Lotus_015.jpg,Lotus,5.719,"(183, 275)"
./flower_images/Lotus/Lotus_016.jpg,Lotus,6.065,"(232, 217)"
./flower_images/Lotus/Lotus_017.jpg,Lotus,47.06,"(1000, 600)"
./flower_images/Lotus/Lotus_018.jpg,Lotus,16.646,"(299, 168)"
./flower_images/Lotus/Lotus_019.jpg,Lotus,182.416,"(1200, 900)"
./flower_images/Lotus/Lotus_020.jpg,Lotus,7.918,"(242, 208)"
./flower_images/Lotus/Lotus_021.jpg,Lotus,290.338,"(2000, 2000)"
./flower_images/Lotus/Lotus_022.jpg,Lotus,16.28,"(274, 184)"
./flower_images/Lotus/Lotus_023.jpg,Lotus,20.981,"(262, 192)"
./flower_images/Lotus/Lotus_024.jpg,Lotus,159.687,"(1200, 1200)"
./flower_images/Lotus/Lotus_025.jpg,Lotus,20.006,"(225, 225)"
./flower_images/Lotus/Lotus_026.jpg,Lotus,11.448,"(225, 225)"
./flower_images/Lotus/Lotus_027.jpg,Lotus,40.226,"(800, 539)"
./flower_images/Lotus/Lotus_028.jpg,Lotus,10.909,"(194, 259)"
./flower_images/Lotus/Lotus_029.jpg,Lotus,9.218,"(245, 206)"
